time,load_shortfall_3h
2018-01-01 00:00:00,7010.627109602581
2018-01-01 03:00:00,6641.6362382528105
2018-01-01 06:00:00,7994.94582474271
2018-01-01 09:00:00,8010.016640169391
2018-01-01 12:00:00,7355.07587270467
2018-01-01 15:00:00,7411.991247580028
2018-01-01 18:00:00,7007.681622800451
2018-01-01 21:00:00,7758.7133297771625
2018-01-02 00:00:00,6007.236604274513
2018-01-02 03:00:00,7228.061409504134
2018-01-02 06:00:00,8145.649175834927
2018-01-02 09:00:00,8392.512722317
2018-01-02 12:00:00,6455.050031657219
2018-01-02 15:00:00,8816.034692982012
2018-01-02 18:00:00,9541.959475714199
2018-01-02 21:00:00,9677.361314202491
2018-01-03 00:00:00,7771.7159477006835
2018-01-03 03:00:00,8111.194462518658
2018-01-03 06:00:00,8303.490264318212
2018-01-03 09:00:00,9399.727462483985
2018-01-03 12:00:00,8680.66902965043
2018-01-03 15:00:00,8329.908344470055
2018-01-03 18:00:00,10094.933940886285
2018-01-03 21:00:00,10263.122810110186
2018-01-04 00:00:00,8267.468329726013
2018-01-04 03:00:00,9384.984179433495
2018-01-04 06:00:00,9875.413933370075
2018-01-04 09:00:00,9481.947972038659
2018-01-04 12:00:00,9400.623124438078
2018-01-04 15:00:00,9868.62255081668
2018-01-04 18:00:00,9384.820631557788
2018-01-04 21:00:00,9068.100623704318
2018-01-05 00:00:00,7524.972609724447
2018-01-05 03:00:00,7746.275870197526
2018-01-05 06:00:00,7315.356685842693
2018-01-05 09:00:00,6601.420136250104
2018-01-05 12:00:00,7280.890288195405
2018-01-05 15:00:00,7709.578736986986
2018-01-05 18:00:00,8260.704346992938
2018-01-05 21:00:00,8405.881281835256
2018-01-06 00:00:00,5741.166183212561
2018-01-06 03:00:00,7426.512291835523
2018-01-06 06:00:00,7832.405838419234
2018-01-06 09:00:00,7643.593329813956
2018-01-06 12:00:00,9412.234873771835
2018-01-06 15:00:00,10197.825600502847
2018-01-06 18:00:00,9933.925785846288
2018-01-06 21:00:00,10529.010166334709
2018-01-07 00:00:00,7629.475471494904
2018-01-07 03:00:00,8435.377775260022
2018-01-07 06:00:00,9142.550768624325
2018-01-07 09:00:00,8861.855314727134
2018-01-07 12:00:00,8193.218857066566
2018-01-07 15:00:00,9079.586733944607
2018-01-07 18:00:00,10111.011900327498
2018-01-07 21:00:00,10540.761998929502
2018-01-08 00:00:00,7182.579486917079
2018-01-08 03:00:00,7525.783575852058
2018-01-08 06:00:00,9093.756791087899
2018-01-08 09:00:00,8114.923221635921
2018-01-08 12:00:00,9238.693423692665
2018-01-08 15:00:00,11401.608963398965
2018-01-08 18:00:00,10851.374461499769
2018-01-08 21:00:00,11756.970745459472
2018-01-09 00:00:00,10275.781038257728
2018-01-09 03:00:00,8394.730544136859
2018-01-09 06:00:00,9783.673428620157
2018-01-09 09:00:00,9483.996771741426
2018-01-09 12:00:00,9573.460280167903
2018-01-09 15:00:00,9202.446400991574
2018-01-09 18:00:00,9880.40110980898
2018-01-09 21:00:00,9857.436211407592
2018-01-10 00:00:00,8653.59807927653
2018-01-10 03:00:00,8419.675289557083
2018-01-10 06:00:00,8688.575144384551
2018-01-10 09:00:00,9472.463103324211
2018-01-10 12:00:00,9072.540106599128
2018-01-10 15:00:00,7510.572033466466
2018-01-10 18:00:00,8605.66477416555
2018-01-10 21:00:00,8563.203391295836
2018-01-11 00:00:00,7013.685880538045
2018-01-11 03:00:00,7701.98811639697
